Species,longitude,latitude
Humpback Whale,-17.469772,66.106053
Humpback Whale,-17.484393,66.115903
Humpback Whale,-17.499844,66.060352
Humpback Whale,-17.527262,66.071265
Humpback Whale,-17.530969,66.072578
Humpback Whale,-17.490974,66.109191
Humpback Whale,-17.563324,66.054433
Humpback Whale,-17.549996,66.049694
Humpback Whale,-17.536822,66.150874
Humpback Whale,-17.55951,66.065527
Humpback Whale,-17.565549,66.143811
Humpback Whale,-17.465491,66.060775
Humpback Whale,-17.467208,66.059291
Humpback Whale,-17.493149,66.06034
Humpback Whale,-17.502804,66.059892
Humpback Whale,-17.508424,66.065215
Humpback Whale,-17.435837,66.064134
Humpback Whale,-17.528394,66.0625
Humpback Whale,-17.541016,66.061181
Humpback Whale,-17.530809,66.062275
Humpback Whale,-17.450674,66.069739
Humpback Whale,-17.454115,66.069313
Humpback Whale,-17.510156,66.087492
Humpback Whale,-17.512391,66.086823
Humpback Whale,-17.538568,66.078433
Humpback Whale,-17.52956,66.067997
Humpback Whale,-17.560785,66.002432
Humpback Whale,-17.603318,66.062849
Humpback Whale,-17.479457,66.109238
Humpback Whale,-17.592419,66.063395
Humpback Whale,-17.513181,66.041615
Humpback Whale,-17.599434,66.045179
Humpback Whale,-17.601164,66.042419
Humpback Whale,-17.576773,66.048388
Humpback Whale,-17.516825,66.053176
Humpback Whale,-17.465239,66.053534
Humpback Whale,-17.499147,66.053327
Humpback Whale,-17.498132,66.053179
Humpback Whale,-17.459578,66.063203
Humpback Whale,-17.447138,66.064142
Humpback Whale,-17.501549,66.049297
Humpback Whale,-17.489181,66.044681
Humpback Whale,-17.551103,66.04975
Humpback Whale,-17.603997,66.029514
Humpback Whale,-17.491022,66.057406
Humpback Whale,-17.501356,66.058564
Humpback Whale,-17.579682,66.05541
Humpback Whale,-17.601644,66.051448
Humpback Whale,-17.573725,66.048893
Humpback Whale,-17.540709,66.070252
Humpback Whale,-17.546866,66.071922
Humpback Whale,-17.568368,66.079806
Humpback Whale,-17.57522,66.080987
Humpback Whale,-17.585197,66.08382
Humpback Whale,-17.598972,66.076377
Humpback Whale,-17.53737,66.089885
Humpback Whale,-17.520223,66.080996
Humpback Whale,-17.561281,66.08469
Humpback Whale,-17.480384,66.070708
Humpback Whale,-17.416901,66.068607
Humpback Whale,-17.548231,66.063275
Humpback Whale,-17.576091,66.056078
Humpback Whale,-17.557576,66.084361
Humpback Whale,-17.555632,66.085311
Humpback Whale,-17.653917,66.079838
Humpback Whale,-17.677632,66.078496
Humpback Whale,-17.554939,66.063757
Humpback Whale,-17.50207,66.102334
Humpback Whale,-17.54595,66.107963
Humpback Whale,-17.59483,66.107405
Humpback Whale,-17.603335,66.110598
Humpback Whale,-17.605008,66.10941
Humpback Whale,-17.453208,66.066368
Humpback Whale,-17.524145,66.047071
Humpback Whale,-17.543173,66.045601
Humpback Whale,-17.572732,66.065051
Humpback Whale,-17.563426,66.072453
Humpback Whale,-17.582743,66.065022
Humpback Whale,-17.443724,66.058717
Humpback Whale,-17.511159,66.059719
Humpback Whale,-17.571207,66.056641
Humpback Whale,-17.406418,66.097508
Humpback Whale,-17.468473,66.090048
Humpback Whale,-17.493018,66.099782
Humpback Whale,-17.493687,66.094446
Humpback Whale,-17.467922,66.068945
Humpback Whale,-17.473672,66.061132
Humpback Whale,-17.503975,66.059758
Humpback Whale,-17.527629,66.05479
Humpback Whale,-17.546201,66.061338
Humpback Whale,-17.546369,66.063569
Humpback Whale,-17.467594,66.103666
Humpback Whale,-17.501739,66.072485
Humpback Whale,-17.512064,66.065236
Humpback Whale,-17.528361,66.062826
Humpback Whale,-17.527698,66.06331
Humpback Whale,-17.532754,66.061668
Humpback Whale,-17.451178,66.046143
Humpback Whale,-17.596027,66.051293
Humpback Whale,-17.499786,66.150936
Humpback Whale,-17.57786,66.047984
Humpback Whale,-17.623259,66.046035
Humpback Whale,-17.614839,66.042615
Humpback Whale,-17.606977,66.046411
Humpback Whale,-17.610145,66.061563
Humpback Whale,-17.63456,66.065257
Humpback Whale,-17.620238,66.053236
Humpback Whale,-17.615229,66.046629
Humpback Whale,-17.580851,66.060574
Humpback Whale,-17.588352,66.06996
Humpback Whale,-17.598196,66.072535
Humpback Whale,-17.626193,66.09181
Humpback Whale,-17.627833,66.094321
Humpback Whale,-17.625649,66.101225
Humpback Whale,-17.606955,66.116616
Humpback Whale,-17.651496,66.114441
Humpback Whale,-17.600156,66.067202
Humpback Whale,-17.629982,66.053423
Humpback Whale,-17.631878,66.064658
Humpback Whale,-17.642929,66.086319
Humpback Whale,-17.384246,66.072017
Humpback Whale,-17.504826,66.113474
Humpback Whale,-17.534023,66.115557
Humpback Whale,-17.581587,66.110747
Humpback Whale,-17.610048,66.12473
Humpback Whale,-17.563115,66.108023
Humpback Whale,-17.456171,66.061016
Humpback Whale,-17.617985,66.091664
Humpback Whale,-17.587121,66.097906
Humpback Whale,-17.562551,66.097257
Humpback Whale,-17.572126,66.082826
