Species,longitude,latitude
Humpback Whale,-17.467498,66.074926
Humpback Whale,-17.485264,66.076824
Humpback Whale,-17.477894,66.081293
Humpback Whale,-17.47548,66.083083
Humpback Whale,-17.455601,66.056904
Humpback Whale,-17.472875,66.064183
Humpback Whale,-17.546795,66.059795
Humpback Whale,-17.57558,66.050243
Humpback Whale,-17.625048,66.042397
Humpback Whale,-17.535067,66.075551
Humpback Whale,-17.555006,66.089298
Humpback Whale,-17.583076,66.100596
Humpback Whale,-17.640505,66.113535
Humpback Whale,-17.643192,66.109448
Humpback Whale,-17.627555,66.105733
Humpback Whale,-17.603034,66.003145
Humpback Whale,-17.632177,66.001077
Humpback Whale,-17.622427,65.998741
Humpback Whale,-17.62524,65.996927
Humpback Whale,-17.633111,65.997023
Humpback Whale,-17.619924,65.998085
Humpback Whale,-17.5345,66.103616
Humpback Whale,-17.521079,66.078778
Humpback Whale,-17.51502,66.075693
Humpback Whale,-17.526426,66.054056
Humpback Whale,-17.593238,66.000129
Humpback Whale,-17.616693,65.99552
Humpback Whale,-17.612098,66.006257
Humpback Whale,-17.424948,66.0429
Humpback Whale,-17.489566,66.054479
Humpback Whale,-17.508669,66.05797
Humpback Whale,-17.53298,66.071759
Humpback Whale,-17.570562,66.069377
Humpback Whale,-17.571235,66.069418
Humpback Whale,-17.585515,66.064363
Humpback Whale,-17.590689,66.065386
Humpback Whale,-17.607263,66.074674
Humpback Whale,-17.573678,66.068273
Humpback Whale,-17.483659,66.056172
Humpback Whale,-17.477818,66.055974
Humpback Whale,-17.458291,66.032943
Humpback Whale,-17.620377,65.999336
Humpback Whale,-17.617744,65.993902
Humpback Whale,-17.632273,65.996935
Humpback Whale,-17.633121,65.997317
Humpback Whale,-17.606761,66.014334
Humpback Whale,-17.540798,66.021828
Humpback Whale,-17.441221,66.053852
Humpback Whale,-17.461508,66.049377
Humpback Whale,-17.456828,66.05499
Humpback Whale,-17.448905,66.070797
Humpback Whale,-17.550365,66.115213
Humpback Whale,-17.551563,66.117854
Humpback Whale,-17.559639,66.122091
Humpback Whale,-17.487574,66.110128
Humpback Whale,-17.582665,66.09314
Humpback Whale,-17.524467,66.050449
Humpback Whale,-17.529774,66.050721
Humpback Whale,-17.544536,66.050388
Humpback Whale,-17.589177,66.059074
Humpback Whale,-17.588147,66.057703
Humpback Whale,-17.61275,66.059347
Humpback Whale,-17.71594,66.084183
Humpback Whale,-17.726357,66.093372
Humpback Whale,-17.611893,66.073204
Humpback Whale,-17.535493,66.062021
Humpback Whale,-17.620804,66.051741
Humpback Whale,-17.626375,66.050125
Humpback Whale,-17.610214,66.038372
Humpback Whale,-17.552378,66.040302
Humpback Whale,-17.557383,66.037388
Humpback Whale,-17.562279,66.037834
Humpback Whale,-17.544467,66.067818
Humpback Whale,-17.559303,66.068905
Humpback Whale,-17.572334,66.061985
Humpback Whale,-17.599259,66.037404
Humpback Whale,-17.597385,66.026896
Humpback Whale,-17.542499,66.039192
Humpback Whale,-17.592872,65.996213
Humpback Whale,-17.631759,66.007947
Humpback Whale,-17.392818,66.042834
Humpback Whale,-17.43143,66.043444
Humpback Whale,-17.602641,66.047174
Humpback Whale,-17.611164,66.048178
Humpback Whale,-17.621686,66.047366
Humpback Whale,-17.634179,66.044315
Humpback Whale,-17.630945,66.043354
Humpback Whale,-17.642162,66.046578
Humpback Whale,-17.605284,66.049316
Humpback Whale,-17.602741,66.048366
Humpback Whale,-17.455425,66.042851
Humpback Whale,-17.518654,66.04863
Humpback Whale,-17.519205,66.062646
Humpback Whale,-17.599892,66.062012
Humpback Whale,-17.526266,66.004861
Humpback Whale,-17.613763,65.991295
Humpback Whale,-17.634483,65.992701
Humpback Whale,-17.412455,66.054549
Humpback Whale,-17.429392,66.055659
Humpback Whale,-17.456794,66.041309
Humpback Whale,-17.502614,66.066798
Humpback Whale,-17.541159,66.059656
Humpback Whale,-17.468879,66.052856
Humpback Whale,-17.51063,66.053905
Humpback Whale,-17.618663,66.050721
Humpback Whale,-17.591799,66.082359
Humpback Whale,-17.412528,66.053544
Humpback Whale,-17.779848,66.131242
Humpback Whale,-17.436491,66.057144
Humpback Whale,-17.517266,66.07935
Humpback Whale,-17.524444,66.069409
Humpback Whale,-17.481464,66.060995
Humpback Whale,-17.556571,66.048616
Humpback Whale,-17.569787,66.045917
Humpback Whale,-17.580265,66.045144
Humpback Whale,-17.424894,66.041296
Humpback Whale,-17.530872,66.039833
Humpback Whale,-17.530872,66.039833
Humpback Whale,-17.538248,66.03956
Humpback Whale,-17.538248,66.03956
Humpback Whale,-17.552675,66.040019
Humpback Whale,-17.552675,66.040019
Humpback Whale,-17.416256,66.059499
Humpback Whale,-17.533149,66.101042
Humpback Whale,-17.566303,66.119883
Humpback Whale,-17.566069,66.119943
Humpback Whale,-17.565546,66.120725
Humpback Whale,-17.565783,66.122642
Humpback Whale,-17.566921,66.133546
Humpback Whale,-17.588154,66.135396
Humpback Whale,-17.48348,66.02887
Humpback Whale,-17.506869,66.033882
Humpback Whale,-17.505774,66.03962
Humpback Whale,-17.55853,66.032754
Humpback Whale,-17.564301,66.031491
Humpback Whale,-17.487585,66.036078
Humpback Whale,-17.534496,66.036983
Humpback Whale,-17.577505,66.042554
Humpback Whale,-17.398519,66.083441
Humpback Whale,-17.476509,66.044151
Humpback Whale,-17.497893,66.040466
Humpback Whale,-17.508251,66.036974
Humpback Whale,-17.511962,66.034575
Humpback Whale,-17.518071,66.036309
Humpback Whale,-17.518637,66.036024
Humpback Whale,-17.455288,66.041973
Humpback Whale,-17.432704,66.086244
Humpback Whale,-17.422579,66.05285
Humpback Whale,-17.534339,66.044229
Humpback Whale,-17.565037,66.030748
Humpback Whale,-17.589608,66.034142
Humpback Whale,-17.481496,66.052646
Humpback Whale,-17.544252,66.060583
Humpback Whale,-17.515166,66.086822
Humpback Whale,-17.490601,66.08509
Humpback Whale,-17.530967,66.090127
Humpback Whale,-17.563689,66.072863
Humpback Whale,-17.492962,66.028302
Humpback Whale,-17.509553,66.029127
Humpback Whale,-17.518375,66.031445
Humpback Whale,-17.521455,66.033272
Humpback Whale,-17.522561,66.035465
Humpback Whale,-17.523509,66.034812
Humpback Whale,-17.520827,66.033916
Humpback Whale,-17.52446,66.037029
Humpback Whale,-17.54113,66.03373
Humpback Whale,-17.401321,66.041343
Humpback Whale,-17.52012,66.031229
Humpback Whale,-17.596213,66.039134
Humpback Whale,-17.636035,66.038596
Humpback Whale,-17.645362,66.044508
Humpback Whale,-17.503111,66.040065
Humpback Whale,-17.512671,66.042002
Humpback Whale,-17.593219,66.045687
Humpback Whale,-17.645389,66.045266
Humpback Whale,-17.650492,66.063698
Humpback Whale,-17.651954,66.061436
Humpback Whale,-17.648159,66.062169
Humpback Whale,-17.637686,66.059824
Humpback Whale,-17.526509,66.0513
Humpback Whale,-17.498028,66.04923
Humpback Whale,-17.473262,66.0479
Humpback Whale,-17.406735,66.04359
Humpback Whale,-17.406735,66.04359
Humpback Whale,-17.552968,66.048976
Humpback Whale,-17.552968,66.048976
Humpback Whale,-17.560267,66.052825
Humpback Whale,-17.560267,66.052825
Humpback Whale,-17.571195,66.047702
Humpback Whale,-17.571195,66.047702
Humpback Whale,-17.613565,66.047961
Humpback Whale,-17.613565,66.047961
Humpback Whale,-17.636015,66.050996
Humpback Whale,-17.636015,66.050996
Humpback Whale,-17.556254,66.041565
Humpback Whale,-17.556254,66.041565
Humpback Whale,-17.375966,66.058117
Humpback Whale,-17.567737,66.095085
Humpback Whale,-17.58322,66.099662
Humpback Whale,-17.622693,65.993674
Humpback Whale,-17.402964,66.032392
Humpback Whale,-17.418183,66.016648
Humpback Whale,-17.59274,66.045239
Humpback Whale,-17.636721,66.045409
Humpback Whale,-17.638167,66.047432
Humpback Whale,-17.642752,66.0456
Humpback Whale,-17.503592,66.088193
Humpback Whale,-17.552721,66.081986
Humpback Whale,-17.574747,66.078429
Humpback Whale,-17.513787,66.062466
Humpback Whale,-17.6087,65.999507
Humpback Whale,-17.607939,65.998373
Humpback Whale,-17.530842,66.080995
Humpback Whale,-17.536283,66.048999
Humpback Whale,-17.609401,66.028565
