Species,longitude,latitude
Humpback Whale,-17.580831,66.088629
Humpback Whale,-17.6137,66.097234
Humpback Whale,-17.625135,66.037839
Humpback Whale,-17.622416,66.040965
Humpback Whale,-17.644078,66.064648
Humpback Whale,-17.611817,66.068703
Humpback Whale,-17.668766,66.045508
Humpback Whale,-17.660122,66.042577
Humpback Whale,-17.59697,66.0595
Humpback Whale,-17.615445,66.059922
Humpback Whale,-17.604135,66.0706
Humpback Whale,-17.681182,66.075377
Humpback Whale,-17.64358,66.068163
Humpback Whale,-17.685241,66.068442
Humpback Whale,-17.67012,66.066754
Humpback Whale,-17.677681,66.0699
Humpback Whale,-17.673797,66.065023
Humpback Whale,-17.681522,66.055757
Humpback Whale,-17.659304,66.064558
Humpback Whale,-17.626969,66.025834
Humpback Whale,-17.627606,66.021252
Humpback Whale,-17.621068,66.021014
Humpback Whale,-17.643305,66.039441
Humpback Whale,-17.638776,66.011181
Humpback Whale,-17.644333,66.008967
Humpback Whale,-17.625717,66.006687
Humpback Whale,-17.56457,66.021198
Humpback Whale,-17.559925,66.019299
Humpback Whale,-17.566945,66.013423
Humpback Whale,-17.592039,66.120674
Humpback Whale,-17.658103,66.107229
Humpback Whale,-17.391114,66.082223
Humpback Whale,-17.398419,66.089271
Humpback Whale,-17.655338,66.070177
Humpback Whale,-17.685992,66.063878
Humpback Whale,-17.621442,66.060742
Humpback Whale,-17.679737,66.066735
Humpback Whale,-17.436931,66.088354
Humpback Whale,-17.449067,66.070912
Humpback Whale,-17.443221,66.05874
Humpback Whale,-17.58368,66.074154
Humpback Whale,-17.455945,66.070002
Humpback Whale,-17.62782,66.057242
Humpback Whale,-17.62601,66.066731
Humpback Whale,-17.48838,66.038614
Humpback Whale,-17.633426,66.045102
Humpback Whale,-17.556509,66.047384
Humpback Whale,-17.651344,66.04989
Humpback Whale,-17.568113,66.166193
Humpback Whale,-17.604056,66.013159
Humpback Whale,-17.484823,66.027242
Humpback Whale,-17.63776,65.997162
Humpback Whale,-17.555312,66.125242
Humpback Whale,-17.450031,66.190105
Humpback Whale,-17.450031,66.190105
Humpback Whale,-17.551157,66.206297
Humpback Whale,-17.551157,66.206297
Humpback Whale,-17.571505,66.259258
Humpback Whale,-17.571505,66.259258
Humpback Whale,-17.60674,66.141639
Humpback Whale,-17.60674,66.141639
Humpback Whale,-17.603757,66.106612
Humpback Whale,-17.603757,66.106612
Humpback Whale,-17.606133,66.112273
Humpback Whale,-17.61172,66.10544
Humpback Whale,-17.6197,66.178255
Humpback Whale,-17.654707,66.180294
Humpback Whale,-17.537455,66.13754
Humpback Whale,-17.414991,66.107265
Humpback Whale,-17.49735,66.1371
Humpback Whale,-17.426293,66.125797
Humpback Whale,-17.455787,66.157166
Humpback Whale,-17.460501,66.166055
Humpback Whale,-17.490771,66.089387
Humpback Whale,-17.554513,66.098839
Humpback Whale,-17.514472,66.108595
Humpback Whale,-17.468887,66.037313
Humpback Whale,-17.586382,66.03746
Humpback Whale,-17.588822,66.040303
Humpback Whale,-17.43418,66.038143
Humpback Whale,-17.531875,66.055434
Humpback Whale,-17.536377,66.048211
Humpback Whale,-17.54082,66.042912
Humpback Whale,-17.52786,66.039661
Humpback Whale,-17.413253,66.055659
Humpback Whale,-17.596535,66.04414
Humpback Whale,-17.623964,66.040713
Humpback Whale,-17.504217,66.040622
Humpback Whale,-17.380282,66.057761
Humpback Whale,-17.387188,66.068933
Humpback Whale,-17.431854,66.106518
Humpback Whale,-17.456422,66.128615
Humpback Whale,-17.459391,66.13201
Humpback Whale,-17.494243,66.205343
Humpback Whale,-17.493215,66.206055
Humpback Whale,-17.536098,66.211213
Humpback Whale,-17.572513,66.212018
Humpback Whale,-17.392592,66.235301
Humpback Whale,-17.472432,66.081405
Humpback Whale,-17.521521,66.113738
Humpback Whale,-17.541828,66.115266
Humpback Whale,-17.534809,66.119507
Humpback Whale,-17.466286,66.109882
Humpback Whale,-17.441561,66.063638
Humpback Whale,-17.512988,66.064736
Humpback Whale,-17.591995,66.053066
Humpback Whale,-17.534981,66.049003
