Species,longitude,latitude
Humpback Whale,-17.562516,66.061878
Humpback Whale,-17.560412,66.060296
Humpback Whale,-17.535943,66.061356
Humpback Whale,-17.555469,66.043747
Humpback Whale,-17.465454,66.044595
Humpback Whale,-17.533231,66.054028
Humpback Whale,-17.586734,66.065464
Humpback Whale,-17.402541,66.046359
Humpback Whale,-17.515722,66.057026
Humpback Whale,-17.468517,66.042091
Humpback Whale,-17.450404,66.059462
Humpback Whale,-17.616837,66.066016
Humpback Whale,-17.48967,66.047629
Humpback Whale,-17.479476,66.04747
Humpback Whale,-17.474376,66.05083
Humpback Whale,-17.509314,66.054743
Humpback Whale,-17.58186,66.050079
Humpback Whale,-17.509368,66.057393
Humpback Whale,-17.438366,66.047499
Humpback Whale,-17.47327,66.044604
Humpback Whale,-17.448698,66.043775
Humpback Whale,-17.539059,66.045496
Humpback Whale,-17.545664,66.04401
Humpback Whale,-17.461817,66.036647
Humpback Whale,-17.427135,66.045528
Humpback Whale,-17.430252,66.045613
Humpback Whale,-17.45062,66.046402
Humpback Whale,-17.453915,66.049395
Humpback Whale,-17.449432,66.050836
Humpback Whale,-17.448344,66.05118
Humpback Whale,-17.446983,66.050474
Humpback Whale,-17.450051,66.042961
Humpback Whale,-17.446176,66.049278
Humpback Whale,-17.442613,66.052295
Humpback Whale,-17.55606,66.07477
Humpback Whale,-17.421549,66.047782
Humpback Whale,-17.622412,66.043849
Humpback Whale,-17.535489,66.057657
Humpback Whale,-17.431212,66.062113
Humpback Whale,-17.442798,66.079658
Humpback Whale,-17.448366,66.081389
Humpback Whale,-17.425263,66.096865
Humpback Whale,-17.396949,66.066127
Humpback Whale,-17.394307,66.072394
Humpback Whale,-17.416324,66.078928
Humpback Whale,-17.380373,66.084242
Humpback Whale,-17.425836,66.079007
Humpback Whale,-17.528979,66.036375
Humpback Whale,-17.477286,66.0342
Humpback Whale,-17.513365,66.035004
Humpback Whale,-17.460576,66.03752
Humpback Whale,-17.498187,66.024528
Humpback Whale,-17.463473,66.038531
Humpback Whale,-17.374629,66.06569
Humpback Whale,-17.44114,66.054524
Humpback Whale,-17.574141,66.06753
Humpback Whale,-17.615034,66.061634
Humpback Whale,-17.488003,66.04554
Humpback Whale,-17.566559,66.090464
Humpback Whale,-17.573153,66.087114
Humpback Whale,-17.576452,66.107841
Humpback Whale,-17.571477,66.113963
Humpback Whale,-17.578814,66.120817
Humpback Whale,-17.458203,66.055284
Humpback Whale,-17.442584,66.070962
Humpback Whale,-17.479697,66.084029
Humpback Whale,-17.494959,66.099242
Humpback Whale,-17.496818,66.103473
Humpback Whale,-17.495936,66.103031
Humpback Whale,-17.485339,66.09912
Humpback Whale,-17.419404,66.05953
Humpback Whale,-17.435238,66.067413
Humpback Whale,-17.415876,66.103801
Humpback Whale,-17.410181,66.094642
Humpback Whale,-17.406931,66.09072
Humpback Whale,-17.405911,66.089493
Humpback Whale,-17.394744,66.075667
Humpback Whale,-17.554365,66.042098
Humpback Whale,-17.571941,66.042538
Humpback Whale,-17.594489,66.044213
Humpback Whale,-17.594144,66.045344
Humpback Whale,-17.573937,66.048244
Humpback Whale,-17.602145,66.052051
Humpback Whale,-17.646809,66.058176
Humpback Whale,-17.666886,66.068431
Humpback Whale,-17.61681,66.061972
Humpback Whale,-17.60002,66.058877
Humpback Whale,-17.555817,66.038979
Humpback Whale,-17.555377,66.03888
Humpback Whale,-17.574423,66.038476
Humpback Whale,-17.614475,66.038834
Humpback Whale,-17.628573,66.040683
Humpback Whale,-17.539829,66.041755
Humpback Whale,-17.505152,66.03925
Humpback Whale,-17.506627,66.053155
Humpback Whale,-17.536064,66.057298
Humpback Whale,-17.548578,66.055761
Humpback Whale,-17.564241,66.083932
Humpback Whale,-17.476347,66.046862
Humpback Whale,-17.519598,66.074552
Humpback Whale,-17.508502,66.094463
Humpback Whale,-17.452985,66.07245
Humpback Whale,-17.463883,66.0859
Humpback Whale,-17.498093,66.085214
Humpback Whale,-17.487707,66.083419
Humpback Whale,-17.645399,66.057028
Humpback Whale,-17.503911,66.070554
Humpback Whale,-17.576856,66.085751
Humpback Whale,-17.635776,66.072577
Humpback Whale,-17.632803,66.080769
Humpback Whale,-17.577808,66.08686
Humpback Whale,-17.616931,66.088937
Humpback Whale,-17.671412,66.111702
Humpback Whale,-17.458394,66.056899
Humpback Whale,-17.462855,66.05731
Humpback Whale,-17.549358,66.041353
Humpback Whale,-17.562366,66.05225
Humpback Whale,-17.498276,66.080296
Humpback Whale,-17.582824,66.063917
Humpback Whale,-17.666491,66.062538
Humpback Whale,-17.674166,66.053313
Humpback Whale,-17.465922,66.118343
Humpback Whale,-17.407086,66.128241
Humpback Whale,-17.664023,66.084743
Humpback Whale,-17.686094,66.090665
Humpback Whale,-17.68189,66.094831
Humpback Whale,-17.677653,66.096507
Humpback Whale,-17.59745,66.100528
Humpback Whale,-17.631467,66.087626
Humpback Whale,-17.635094,66.085524
Humpback Whale,-17.626234,66.087042
Humpback Whale,-17.529607,66.045492
Humpback Whale,-17.529607,66.045492
Humpback Whale,-17.413619,66.059932
Humpback Whale,-17.413619,66.059932
Humpback Whale,-17.521832,66.079097
Humpback Whale,-17.536825,66.081398
Humpback Whale,-17.559014,66.078096
Humpback Whale,-17.627827,66.125541
Humpback Whale,-17.439974,66.052681
Humpback Whale,-17.473447,66.055613
Humpback Whale,-17.493539,66.05902
Humpback Whale,-17.64882,66.01452
