Species,longitude,latitude
Humpback Whale,-17.523537,66.06978
Humpback Whale,-17.554784,66.079344
Humpback Whale,-17.50189,66.096653
Humpback Whale,-17.552971,66.089728
Humpback Whale,-17.564535,66.087638
Humpback Whale,-17.57752,66.084686
Humpback Whale,-17.601744,66.079211
Humpback Whale,-17.611885,66.054473
Humpback Whale,-17.626532,66.055434
Humpback Whale,-17.620754,66.059061
Humpback Whale,-17.615701,66.058791
Humpback Whale,-17.610089,66.060289
Humpback Whale,-17.60977,66.059854
Humpback Whale,-17.659439,66.083419
Humpback Whale,-17.662053,66.084276
Humpback Whale,-17.344438,66.046084
Humpback Whale,-17.625269,66.073826
Humpback Whale,-17.344962,66.046098
Humpback Whale,-17.344768,66.045953
Humpback Whale,-17.344768,66.045953
Humpback Whale,-17.345188,66.046777
Humpback Whale,-17.342952,66.044776
Humpback Whale,-17.342952,66.044776
Humpback Whale,-17.342952,66.044776
Humpback Whale,-17.344915,66.046297
Humpback Whale,-17.344705,66.046093
Humpback Whale,-17.345203,66.046082
Humpback Whale,-17.344628,66.045898
Humpback Whale,-17.344973,66.045825
Humpback Whale,-17.344973,66.045825
Humpback Whale,-17.344973,66.045825
Humpback Whale,-17.345264,66.046292
Humpback Whale,-17.345264,66.046292
Humpback Whale,-17.606553,66.058477
Humpback Whale,-17.606525,66.060874
Humpback Whale,-17.344397,66.045978
Humpback Whale,-17.344397,66.045978
Humpback Whale,-17.63536,66.061495
Humpback Whale,-17.636474,66.060085
Humpback Whale,-17.643095,66.063641
Humpback Whale,-17.63824,66.063838
Humpback Whale,-17.636796,66.060884
Humpback Whale,-17.630592,66.059188
Humpback Whale,-17.595123,66.080496
Humpback Whale,-17.343529,66.04548
Humpback Whale,-17.344057,66.046222
Humpback Whale,-17.344057,66.046222
Humpback Whale,-17.344319,66.04609
Humpback Whale,-17.609166,66.072066
Humpback Whale,-17.610588,66.064083
Humpback Whale,-17.34426,66.045983
Humpback Whale,-17.34426,66.045983
Humpback Whale,-17.343383,66.045447
Humpback Whale,-17.484086,66.068777
Humpback Whale,-17.343383,66.045447
Humpback Whale,-17.491066,66.073482
Humpback Whale,-17.495992,66.078455
Humpback Whale,-17.495684,66.078488
Humpback Whale,-17.479157,66.080653
Humpback Whale,-17.489716,66.084088
Humpback Whale,-17.497366,66.083747
Humpback Whale,-17.499777,66.084551
Humpback Whale,-17.499878,66.084445
Humpback Whale,-17.50233,66.087367
Humpback Whale,-17.344975,66.04646
Humpback Whale,-17.344975,66.04646
Humpback Whale,-17.34461,66.045766
