species,longitude,latitude
Humpback Whale,-17.808072,66.178878
Humpback Whale,-17.808902,66.160929
Humpback Whale,-17.826485,66.163847
Humpback Whale,-17.808111,66.173466
Humpback Whale,-17.790838,66.153541
Humpback Whale,-17.784791,66.154951
Humpback Whale,-17.84393,66.145003
Humpback Whale,-17.556512,66.088996
Humpback Whale,-17.902033,66.15432
Humpback Whale,-17.419614,66.105776
Humpback Whale,-17.39877,66.101964
Humpback Whale,-17.39723,66.050119
Humpback Whale,-17.404504,66.039493
Humpback Whale,-17.563883,66.097513
Humpback Whale,-17.482424,66.087834
Humpback Whale,-17.446512,66.209649
Humpback Whale,-17.393126,66.125451
Humpback Whale,-17.405563,66.150618
Humpback Whale,-17.475843,66.130432
Humpback Whale,-17.622274,66.096901
Humpback Whale,-17.461791,66.085833
Humpback Whale,-17.456136,66.041004
Humpback Whale,-17.630172,66.040011
Humpback Whale,-17.596181,66.009941
