species,longitude,latitude
Humpback Whale,-17.77128,66.128702
Humpback Whale,-17.671721,66.149363
Humpback Whale,-17.652198,66.150854
Humpback Whale,-17.618875,66.08769
Humpback Whale,-17.618271,66.08684
Humpback Whale,-17.686616,66.155897
Humpback Whale,-17.700221,66.165725
Humpback Whale,-17.581939,66.101602
Humpback Whale,-17.458101,66.071921
Humpback Whale,-17.459555,66.078883
Humpback Whale,-17.548414,66.066118
Humpback Whale,-17.347079,66.045693
Humpback Whale,-17.322262,66.164902
Humpback Whale,-17.4033,66.104865
Humpback Whale,-17.575227,66.056937
