species,longitude,latitude
Humpback Whale,-17.5759,66.0801
Humpback Whale,-17.6347,66.0546
Humpback Whale,-17.54,66.0501
Humpback Whale,-17.4832,66.0513
Humpback Whale,-17.6264,65.9972
Humpback Whale,-17.6149,66.0003
Humpback Whale,-17.6274,65.9966
Humpback Whale,-17.5144,66.0805
Humpback Whale,-17.5213,66.0837
Humpback Whale,-17.526,66.0927
Humpback Whale,-17.5766,66.0435
Humpback Whale,-17.4674,66.0473
Humpback Whale,-17.4991,66.0638
Humpback Whale,-17.5708,66.066
Humpback Whale,-17.5359,66.0442
Humpback Whale,-17.5638,66.0632
Humpback Whale,-17.5253,65.9974
Humpback Whale,-17.5253,65.9974
Humpback Whale,-17.5253,65.9974
Humpback Whale,-17.5253,65.9974
Humpback Whale,-17.5691,65.9916
Humpback Whale,-17.5691,65.9916
Humpback Whale,-17.5691,65.9916
Humpback Whale,-17.5691,65.9916
Humpback Whale,-17.6193,66.0424
Humpback Whale,-17.6193,66.0424
Humpback Whale,-17.6193,66.0424
Humpback Whale,-17.6193,66.0424
Humpback Whale,-17.6561,66.0718
Humpback Whale,-17.6354,66.0631
Humpback Whale,-17.4132,66.0581
Humpback Whale,-17.6131,66.054
Humpback Whale,-17.5803,66.0108
Humpback Whale,-17.5734,65.9961
Humpback Whale,-17.4249,66.0344
Humpback Whale,-17.4446,66.0282
Humpback Whale,-17.6279,66.0046
Humpback Whale,-17.4017,66.0347
Humpback Whale,-17.5958,65.9949
Humpback Whale,-17.6123,65.9999
Humpback Whale,-17.5954,66.0085
Humpback Whale,-17.5743,66.0669
Humpback Whale,-17.5806,66.0616
Humpback Whale,-17.6135,66.0729
Humpback Whale,-17.521,66.0492
Humpback Whale,-17.5489,66.0491
Humpback Whale,-17.581,66.0525
Humpback Whale,-17.6322,66.0073
Humpback Whale,-17.6297,65.999
Humpback Whale,-17.5192,66.0673
Humpback Whale,-17.467,66.0761
Humpback Whale,-17.6356,66.0031
Humpback Whale,-17.645,66.0051
Humpback Whale,-17.6126,66.0077
Humpback Whale,-17.5904,66.0032
Humpback Whale,-17.564,65.9963
Humpback Whale,-17.5475,65.9927
Humpback Whale,-17.5585,65.991
Humpback Whale,-17.5557,65.9925
Humpback Whale,-17.5108,66.0401
Humpback Whale,-17.6028,66.0374
Humpback Whale,-17.5525,66.0458
Humpback Whale,-17.5794,66.0272
Humpback Whale,-17.624,66.0304
Humpback Whale,-17.5659,66.0653
Humpback Whale,-17.5701,66.0465
Humpback Whale,-17.4981,66.0322
Humpback Whale,-17.511,66.0266
Humpback Whale,-17.5101,66.0243
Humpback Whale,-17.5126,66.0247
Humpback Whale,-17.6116,66.032
Humpback Whale,-17.5096,66.03
Humpback Whale,-17.5425,66.0395
Humpback Whale,-17.6413,66.024
