species,longitude,latitude
Humpback Whale,-17.5041,66.0836
Humpback Whale,-17.4468,66.0925
Humpback Whale,-17.5847,66.0434
Humpback Whale,-17.5867,66.0793
Humpback Whale,-17.5595,66.1023
Humpback Whale,-17.5469,66.098
Humpback Whale,-17.522,66.0913
Humpback Whale,-17.5255,66.0927
Humpback Whale,-17.5151,66.0989
Humpback Whale,-17.504,66.0991
Humpback Whale,-17.5752,66.0836
Humpback Whale,-17.5953,66.0903
Humpback Whale,-17.5742,66.0835
Humpback Whale,-17.5091,66.1124
Humpback Whale,-17.5371,66.1089
Humpback Whale,-17.544,66.1195
Humpback Whale,-17.5459,66.1374
Humpback Whale,-17.6478,66.1167
Humpback Whale,-17.5288,66.0902
Humpback Whale,-17.607,66.0564
Humpback Whale,-17.6737,66.079
Humpback Whale,-17.6788,66.0819
Humpback Whale,-17.715,66.087
Humpback Whale,-17.7148,66.0875
Humpback Whale,-17.7025,66.089
Humpback Whale,-17.5724,66.0736
Humpback Whale,-17.6128,65.9961
Humpback Whale,-17.6718,66.0579
Humpback Whale,-17.5075,66.084
Humpback Whale,-17.5233,66.0915
Humpback Whale,-17.5343,66.0971
Humpback Whale,-17.5562,66.0864
Humpback Whale,-17.5667,66.0811
Humpback Whale,-17.6162,66.0866
Humpback Whale,-17.6309,66.0904
Humpback Whale,-17.6541,66.0864
Humpback Whale,-17.5002,66.0773
Humpback Whale,-17.5852,66.0876
Humpback Whale,-17.6031,66.0909
Humpback Whale,-17.6222,66.0911
Humpback Whale,-17.563,66.0813
Humpback Whale,-17.6188,66.1135
Humpback Whale,-17.6422,66.1165
Humpback Whale,-17.6465,66.1191
Humpback Whale,-17.6443,66.1188
Humpback Whale,-17.5034,66.0883
Humpback Whale,-17.5998,66.1077
Humpback Whale,-17.5557,66.1122
Humpback Whale,-17.4769,66.1105
Humpback Whale,-17.4537,66.1231
Humpback Whale,-17.4383,66.0841
Humpback Whale,-17.4998,66.1056
Humpback Whale,-17.5714,66.0916
Humpback Whale,-17.4842,66.0838
Humpback Whale,-17.4854,66.0824
Humpback Whale,-17.5778,66.0969
Humpback Whale,-17.4823,66.0868
Humpback Whale,-17.502,66.0796
Humpback Whale,-17.5248,66.0957
Humpback Whale,-17.5966,66.116
Humpback Whale,-17.6184,66.121
Humpback Whale,-17.5527,66.1036
Humpback Whale,-17.4652,66.0909
Humpback Whale,-17.4929,66.0984
Humpback Whale,-17.4944,66.0993
Humpback Whale,-17.5008,66.1044
Humpback Whale,-17.5133,66.1129
Humpback Whale,-17.5284,66.1084
Humpback Whale,-17.4723,66.0751
Humpback Whale,-17.4857,66.0779
Humpback Whale,-17.5149,66.086
Humpback Whale,-17.528,66.0896
Humpback Whale,-17.5284,66.0896
Humpback Whale,-17.535,66.0878
Humpback Whale,-17.5206,66.1043
Humpback Whale,-17.5185,66.1054
Humpback Whale,-17.6996,66.1199
Humpback Whale,-17.6986,66.1234
Humpback Whale,-17.6801,66.1222
Humpback Whale,-17.6443,66.1156
Humpback Whale,-17.6579,66.0585
Humpback Whale,-17.6039,65.9968
