species,longitude,latitude
Humpback Whale,-18.2514,65.933
Humpback Whale,-17.6633,66.0646
Humpback Whale,-17.6633,66.0646
Humpback Whale,-18.4687,66.1251
Humpback Whale,-18.5288,66.1577
Humpback Whale,-17.6547,66.0697
Humpback Whale,-17.6916,66.0869
Humpback Whale,-17.6237,66.0686
Humpback Whale,-17.5445,66.0638
Humpback Whale,-17.563,66.0648
Humpback Whale,-17.559,66.0657
Humpback Whale,-17.5673,66.0739
Humpback Whale,-17.5286,66.0906
Humpback Whale,-17.5795,66.0679
Humpback Whale,-17.5795,66.0679
Humpback Whale,-17.5849,66.0674
Humpback Whale,-17.5849,66.0674
Humpback Whale,-17.5831,66.0655
Humpback Whale,-17.5831,66.0655
Humpback Whale,-17.6099,66.0639
Humpback Whale,-17.6099,66.0639
Humpback Whale,-17.6203,66.0644
Humpback Whale,-17.6203,66.0644
Humpback Whale,-17.6349,66.0633
Humpback Whale,-17.6349,66.0633
Humpback Whale,-17.6402,66.0616
Humpback Whale,-17.6402,66.0616
Humpback Whale,-17.6094,66.0766
Humpback Whale,-17.623,66.0744
Humpback Whale,-17.623,66.0738
Humpback Whale,-17.5578,66.0645
Humpback Whale,-17.6845,66.0947
Humpback Whale,-17.6911,66.0972
Humpback Whale,-17.6959,66.0984
Humpback Whale,-17.6835,66.0974
Humpback Whale,-17.615,66.0774
Humpback Whale,-17.6296,66.0659
Humpback Whale,-17.6323,66.062
Humpback Whale,-17.6034,66.0721
Humpback Whale,-17.6094,66.0845
Humpback Whale,-17.6147,66.0846
Humpback Whale,-17.6078,66.0833
Humpback Whale,-17.6093,66.0836
Humpback Whale,-17.6273,66.0858
Humpback Whale,-17.6271,66.0858
Humpback Whale,-17.6124,66.0844
Humpback Whale,-17.5666,66.1023
Humpback Whale,-17.5638,66.0903
Humpback Whale,-17.5783,66.0892
Humpback Whale,-17.6928,66.0954
Humpback Whale,-17.693,66.0954
Humpback Whale,-17.6289,66.0894
Humpback Whale,-17.5021,66.102
Humpback Whale,-17.717,66.126
Humpback Whale,-17.6845,66.1134
Humpback Whale,-17.6592,66.1213
Humpback Whale,-17.666,66.097
Humpback Whale,-17.5736,66.0656
Humpback Whale,-17.5848,66.0661
Humpback Whale,-17.5841,66.0895
Humpback Whale,-17.6326,66.1026
Humpback Whale,-17.7056,66.1051
Humpback Whale,-17.548,66.0808
Humpback Whale,-17.5868,66.0793
Humpback Whale,-17.709,66.1063
Humpback Whale,-17.6454,66.0907
Humpback Whale,-17.6459,66.0903
Humpback Whale,-17.5664,66.0663
Humpback Whale,-17.5735,66.0804
Humpback Whale,-17.5748,66.0816
Humpback Whale,-17.5757,66.0816
Humpback Whale,-17.5662,66.1014
Humpback Whale,-17.5741,66.1293
Humpback Whale,-17.5793,66.1175
