species,longitude,latitude
Humpback Whale,-17.457526,66.11564
Humpback Whale,-17.455747,66.114405
Humpback Whale,-17.466241,66.120073
Humpback Whale,-17.474222,66.132001
Humpback Whale,-17.470965,66.104485
Humpback Whale,-17.450144,66.08369
Humpback Whale,-17.508534,66.070475
Humpback Whale,-17.55756,66.059132
Humpback Whale,-17.460483,66.086116
Humpback Whale,-17.362394,66.052215
Humpback Whale,-17.555493,66.064973
Humpback Whale,-17.561245,66.056956
Humpback Whale,-17.557403,66.05959
Humpback Whale,-17.624019,66.090975
Humpback Whale,-17.688622,66.090442
Humpback Whale,-17.4386,66.066591
Humpback Whale,-17.4386,66.066591
Humpback Whale,-17.461552,66.131582
Humpback Whale,-17.461552,66.131582
Humpback Whale,-17.451673,66.070608
Humpback Whale,-17.617234,66.067428
Humpback Whale,-17.48725,66.058995
Humpback Whale,-17.51292,66.055978
Humpback Whale,-17.595769,66.064669
Humpback Whale,-17.576047,66.072137
Humpback Whale,-17.651958,66.072347
Humpback Whale,-17.654875,66.054635
Humpback Whale,-17.61859,66.068069
Humpback Whale,-17.539679,66.068962
Humpback Whale,-17.581818,66.06975
Humpback Whale,-17.595,66.091335
Humpback Whale,-17.575809,66.084626
Humpback Whale,-17.575809,66.084626
Humpback Whale,-17.575809,66.084626
Humpback Whale,-17.714494,66.084689
Humpback Whale,-17.624404,66.072312
Humpback Whale,-17.666546,66.065952
Humpback Whale,-17.741137,66.127046
Humpback Whale,-17.635927,66.184246
Humpback Whale,-17.484364,66.087976
Humpback Whale,-17.532523,66.133933
Humpback Whale,-17.509957,66.159959
Humpback Whale,-17.415575,66.143125
Humpback Whale,-17.803279,66.122305
Humpback Whale,-17.792274,66.123168
Humpback Whale,-17.521852,66.086104
Humpback Whale,-17.651495,66.129971
Humpback Whale,-17.666206,66.148355
Humpback Whale,-17.605819,66.162747
Humpback Whale,-17.553072,66.071643
Humpback Whale,-17.600926,66.08064
Humpback Whale,-17.735241,66.102799
Humpback Whale,-17.734524,66.10361
Humpback Whale,-17.509757,66.051066
Humpback Whale,-17.675735,66.050121
Humpback Whale,-17.580886,66.12202
Humpback Whale,-17.416131,66.059459
Humpback Whale,-17.553386,66.054243
Humpback Whale,-17.565325,66.147117
Humpback Whale,-17.551113,66.08105
Humpback Whale,-17.580004,66.092823
Humpback Whale,-17.607901,66.169725
Humpback Whale,-17.589724,66.039799
Humpback Whale,-17.548425,66.134529
Humpback Whale,-17.493818,66.021598
Humpback Whale,-17.471673,66.129965
