species,longitude,latitude
Humpback,-17.565374,66.011416
Humpback,-17.419377,66.031696
Humpback,-17.439047,66.033606
Humpback,-17.394362,66.058072
Humpback,-17.409533,66.055742
Humpback,-17.418602,66.049379
Humpback,-17.416831,66.047023
Humpback,-17.34459,66.046568
Humpback,-17.59347,66.042919
Humpback,-17.441645,66.061975
Humpback,-17.62331,66.087145
Humpback,-17.344634,66.04654
Humpback,-17.66674,66.077558
Humpback,-17.511079,66.036202
Humpback,-17.362951,66.052487
Humpback,-17.578807,66.042792
Humpback,-17.558571,66.007943
Humpback,-17.626772,65.998204
Humpback,-17.504516,66.018723
Humpback,-17.58886,66.01243
Humpback,-17.462234,66.025726
Humpback,-17.543056,66.027047
Humpback,-17.581882,66.021808
Humpback,-17.61534,66.030483
Humpback,-17.646754,66.01525
Humpback,-17.603428,66.024011
Humpback,-17.378415,66.054714
Humpback,-17.456429,66.064973
Humpback,-17.481761,66.069565
Humpback,-17.411185,66.041413
Humpback,-17.427599,66.034894
Humpback,-17.586529,66.057628
Humpback,-17.60487,66.074865
Humpback,-17.651376,66.04559
Humpback,-17.64654,66.031971
Humpback,-17.505053,66.012541
Humpback,-17.472899,66.032994
Humpback,-17.635182,66.036463
