species,longitude,latitude
Humpback Whale,-17.490587,66.266143
Humpback Whale,-17.485239,66.084039
Humpback Whale,-17.469232,66.119134
Humpback Whale,-17.386759,66.069762
Humpback Whale,-17.591764,66.158291
Humpback Whale,-17.409142,66.106606
Humpback Whale,-17.391079,66.170037
Humpback Whale,-17.492194,66.156102
Humpback Whale,-17.42391,66.028167
Humpback Whale,-17.417695,66.00569
Humpback Whale,-17.469282,66.069038
Humpback Whale,-17.515344,66.10767
Humpback Whale,-17.513382,66.030919
Humpback Whale,-17.660219,66.137948
Humpback Whale,-17.480647,66.17156
Humpback Whale,-17.550341,66.101098
Humpback Whale,-17.451623,66.186692
Humpback Whale,-17.193737,66.234173
Humpback Whale,-17.386772,66.069707
Humpback Whale,-17.567554,66.202044
Humpback Whale,-17.564453,66.205569
Humpback Whale,-17.549406,66.194425
Humpback Whale,-18.224739,65.912107
Humpback Whale,-18.213865,65.901997
Humpback Whale,-17.388773,66.116161
Humpback Whale,-18.242052,65.927368
Humpback Whale,-17.666471,66.08267
Humpback Whale,-17.515176,66.0967959
Humpback Whale,-17.472005,66.1904015
Humpback Whale,-17.516137,66.2467447
Humpback Whale,-17.51248,66.2609839
Humpback Whale,-17.409687,66.2904772
Humpback Whale,-17.382774,66.2750723
Humpback Whale,-17.455576,66.052632
